"","X","metric","Threshold25","Threshold50","Threshold75","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"1",1,"H_ASCI_DS_Dur_WS_0.75_Positive",105.265955583838,66.9366651371849,35.7160348853454,111,"Positive","ASCI","H_ASCI",0.75,"DS_Dur_WS"
"2",2,"H_ASCI_DS_Mag_50_0.75_Positive",1.05049650266943,0.539472853608458,0.249368028145403,222,"Positive","ASCI","H_ASCI",0.75,"DS_Mag_50"
"3",3,"H_ASCI_DS_Mag_90_0.75_Positive",1.5716804339559,0.893834589882584,0.418653645313532,205,"Positive","ASCI","H_ASCI",0.75,"DS_Mag_90"
"4",4,"H_ASCI_DS_Tim_0.75_Positive",25.453870733383,16.0069024504193,8.41953222488527,116,"Positive","ASCI","H_ASCI",0.75,"DS_Tim"
"5",5,"H_ASCI_FA_Dur_0.75_Positive",5.08741892639389,2.92818547891729,1.3013438256388,22,"Positive","ASCI","H_ASCI",0.75,"FA_Dur"
"6",6,"H_ASCI_FA_Mag_0.75_Positive",135.233375597609,90.1445009952179,45.1632054458172,31,"Positive","ASCI","H_ASCI",0.75,"FA_Mag"
"7",7,"H_ASCI_FA_Tim_0.75_Positive",NA,NA,NA,12,"Positive","ASCI","H_ASCI",0.75,"FA_Tim"
"8",8,"H_ASCI_Q99_0.75_Positive",1210.49819629938,692.674482920899,320.523709493976,278,"Positive","ASCI","H_ASCI",0.75,"Q99"
"9",9,"H_ASCI_SP_Dur_0.75_Positive",55.7340359584388,38.0907816873922,20.5630611194407,114,"Positive","ASCI","H_ASCI",0.75,"SP_Dur"
"10",10,"H_ASCI_SP_Mag_0.75_Positive",955.947237692522,536.223902150644,245.259791302419,235,"Positive","ASCI","H_ASCI",0.75,"SP_Mag"
"11",11,"H_ASCI_SP_ROC_0.75_Positive",0.0475562541126989,0.0274078432126975,0.0126933313479974,183,"Positive","ASCI","H_ASCI",0.75,"SP_ROC"
"12",12,"H_ASCI_SP_Tim_0.75_Positive",42.4654106978678,26.1959229717375,12.9934953922313,256,"Positive","ASCI","H_ASCI",0.75,"SP_Tim"
"13",13,"H_ASCI_Wet_BFL_Dur_0.75_Positive",76.7120950155537,46.8609798512588,23.1643345625204,268,"Positive","ASCI","H_ASCI",0.75,"Wet_BFL_Dur"
"14",14,"H_ASCI_Wet_BFL_Mag_10_0.75_Positive",1.64476579260265,1.09480543382705,0.548729580315141,166,"Positive","ASCI","H_ASCI",0.75,"Wet_BFL_Mag_10"
"15",15,"H_ASCI_Wet_BFL_Mag_50_0.75_Positive",11.6919427234354,7.60123379672946,3.51052487002352,167,"Positive","ASCI","H_ASCI",0.75,"Wet_BFL_Mag_50"
"16",16,"H_ASCI_Wet_Tim_0.75_Positive",13.271875779911,8.90518397515039,5.14311239515513,96,"Positive","ASCI","H_ASCI",0.75,"Wet_Tim"
"17",17,"H_ASCI_DS_Dur_WS_0.86_Positive",91.3794383479748,54.4964297996265,26.6457724606784,111,"Positive","ASCI","H_ASCI",0.86,"DS_Dur_WS"
"18",18,"H_ASCI_DS_Mag_50_0.86_Positive",0.517217346331114,0.275838222847943,0.12093057561256,222,"Positive","ASCI","H_ASCI",0.86,"DS_Mag_50"
"19",19,"H_ASCI_DS_Mag_90_0.86_Positive",0.915663064751941,0.493205418840442,0.218862320529683,205,"Positive","ASCI","H_ASCI",0.86,"DS_Mag_90"
"20",20,"H_ASCI_DS_Tim_0.86_Positive",28.0810049958445,16.7053410524898,8.251825940522,116,"Positive","ASCI","H_ASCI",0.86,"DS_Tim"
"21",21,"H_ASCI_FA_Dur_0.86_Positive",5.02772875195002,2.75985457805326,1.18920311661251,22,"Positive","ASCI","H_ASCI",0.86,"FA_Dur"
"22",22,"H_ASCI_FA_Mag_0.86_Positive",3.01000835073241,1.79631130177297,0.918388794311174,31,"Positive","ASCI","H_ASCI",0.86,"FA_Mag"
"23",23,"H_ASCI_FA_Tim_0.86_Positive",NA,NA,NA,12,"Positive","ASCI","H_ASCI",0.86,"FA_Tim"
"24",24,"H_ASCI_Q99_0.86_Positive",707.162379139493,378.493898930199,166.422543329954,278,"Positive","ASCI","H_ASCI",0.86,"Q99"
"25",25,"H_ASCI_SP_Dur_0.86_Positive",46.609425514013,29.2324242696026,14.691158738781,114,"Positive","ASCI","H_ASCI",0.86,"SP_Dur"
"26",26,"H_ASCI_SP_Mag_0.86_Positive",573.605755037196,303.820314288161,132.964321312706,235,"Positive","ASCI","H_ASCI",0.86,"SP_Mag"
"27",27,"H_ASCI_SP_ROC_0.86_Positive",0.0588823254283641,0.0317183501215893,0.0141561821988451,183,"Positive","ASCI","H_ASCI",0.86,"SP_ROC"
"28",28,"H_ASCI_SP_Tim_0.86_Positive",31.5704631487288,17.9649899401007,8.30791126162693,256,"Positive","ASCI","H_ASCI",0.86,"SP_Tim"
"29",29,"H_ASCI_Wet_BFL_Dur_0.86_Positive",58.4118777959361,33.340601196323,15.5432458253739,268,"Positive","ASCI","H_ASCI",0.86,"Wet_BFL_Dur"
"30",30,"H_ASCI_Wet_BFL_Mag_10_0.86_Positive",1.04155598588212,0.548409147655258,0.249085569918817,166,"Positive","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_10"
"31",31,"H_ASCI_Wet_BFL_Mag_50_0.86_Positive",9.45909542798486,4.77311332720993,1.28429346734947,167,"Positive","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_50"
"32",32,"H_ASCI_Wet_Tim_0.86_Positive",10.7695648643574,6.48797033140663,3.21984384468011,96,"Positive","ASCI","H_ASCI",0.86,"Wet_Tim"
"33",33,"H_ASCI_DS_Dur_WS_0.94_Positive",31.507199065514,16.7306800124649,7.68261719687919,111,"Positive","ASCI","H_ASCI",0.94,"DS_Dur_WS"
"34",34,"H_ASCI_DS_Mag_50_0.94_Positive",1.09944021443591,0.52530486556044,0.226203137912715,222,"Positive","ASCI","H_ASCI",0.94,"DS_Mag_50"
"35",35,"H_ASCI_DS_Mag_90_0.94_Positive",0.623290758366786,0.329232221836165,0.143742357703078,205,"Positive","ASCI","H_ASCI",0.94,"DS_Mag_90"
"36",36,"H_ASCI_DS_Tim_0.94_Positive",33.4522911008081,19.0513311062882,8.81589303434768,116,"Positive","ASCI","H_ASCI",0.94,"DS_Tim"
"37",37,"H_ASCI_FA_Dur_0.94_Positive",4.94047328159891,2.54010871985313,1.06146910069525,22,"Positive","ASCI","H_ASCI",0.94,"FA_Dur"
"38",38,"H_ASCI_FA_Mag_0.94_Positive",0.910719037763172,0.549929220139332,0.335142558701342,31,"Positive","ASCI","H_ASCI",0.94,"FA_Mag"
"39",39,"H_ASCI_FA_Tim_0.94_Positive",NA,NA,NA,12,"Positive","ASCI","H_ASCI",0.94,"FA_Tim"
"40",40,"H_ASCI_Q99_0.94_Positive",53.4039757071174,28.1933009715452,12.286253218279,278,"Positive","ASCI","H_ASCI",0.94,"Q99"
"41",41,"H_ASCI_SP_Dur_0.94_Positive",38.9852922174601,22.8699879797251,10.6144791446064,114,"Positive","ASCI","H_ASCI",0.94,"SP_Dur"
"42",42,"H_ASCI_SP_Mag_0.94_Positive",109.165758499972,57.1962920294283,24.7405793334318,235,"Positive","ASCI","H_ASCI",0.94,"SP_Mag"
"43",43,"H_ASCI_SP_ROC_0.94_Positive",0.00926409695596372,0.00486744156662538,0.00213125843026887,183,"Positive","ASCI","H_ASCI",0.94,"SP_ROC"
"44",44,"H_ASCI_SP_Tim_0.94_Positive",30.5450566720356,16.8231519448443,7.48249688733644,256,"Positive","ASCI","H_ASCI",0.94,"SP_Tim"
"45",45,"H_ASCI_Wet_BFL_Dur_0.94_Positive",51.4029530370322,28.0992707649037,12.5709288275405,268,"Positive","ASCI","H_ASCI",0.94,"Wet_BFL_Dur"
"46",46,"H_ASCI_Wet_BFL_Mag_10_0.94_Positive",1.31525319461244,0.685613267929036,0.303812623096132,166,"Positive","ASCI","H_ASCI",0.94,"Wet_BFL_Mag_10"
"47",47,"H_ASCI_Wet_BFL_Mag_50_0.94_Positive",9.19180292281256,4.22310073611914,1.12362095417883,167,"Positive","ASCI","H_ASCI",0.94,"Wet_BFL_Mag_50"
"48",48,"H_ASCI_Wet_Tim_0.94_Positive",2.97208390473599,1.71629504195274,0.793204842878316,96,"Positive","ASCI","H_ASCI",0.94,"Wet_Tim"
"49",49,"H_ASCI_DS_Dur_WS_0.75_Negative",-147.478010005444,-98.2610856986271,-49.2892963264631,195,"Negative","ASCI","H_ASCI",0.75,"DS_Dur_WS"
"50",50,"H_ASCI_DS_Mag_50_0.75_Negative",-18.8738038966383,-12.4415907524702,-6.20838896696728,133,"Negative","ASCI","H_ASCI",0.75,"DS_Mag_50"
"51",51,"H_ASCI_DS_Mag_90_0.75_Negative",-9.81368160645147,-5.38285779845044,-2.62391564227127,150,"Negative","ASCI","H_ASCI",0.75,"DS_Mag_90"
"52",52,"H_ASCI_DS_Tim_0.75_Negative",-218.281675722945,-132.266645501479,-63.7316001163532,230,"Negative","ASCI","H_ASCI",0.75,"DS_Tim"
"53",53,"H_ASCI_FA_Dur_0.75_Negative",-5.83533430058718,-3.48214218323115,-2.00341864765648,18,"Negative","ASCI","H_ASCI",0.75,"FA_Dur"
"54",54,"H_ASCI_FA_Mag_0.75_Negative",-17.1916170404626,-33.6357727583796,-49.4906461867745,9,"Negative","ASCI","H_ASCI",0.75,"FA_Mag"
"55",55,"H_ASCI_FA_Tim_0.75_Negative",-37.5095022570802,-23.6512426106636,-11.9653745695042,28,"Negative","ASCI","H_ASCI",0.75,"FA_Tim"
"56",56,"H_ASCI_Q99_0.75_Negative",-0.0531125098584369,-0.0387116165931093,-0.0237381671076059,76,"Negative","ASCI","H_ASCI",0.75,"Q99"
"57",57,"H_ASCI_SP_Dur_0.75_Negative",-101.343998943284,-62.0156024990742,-30.0408644297913,225,"Negative","ASCI","H_ASCI",0.75,"SP_Dur"
"58",58,"H_ASCI_SP_Mag_0.75_Negative",-4.48428701416073,-2.846252777466,-1.54011591942172,112,"Negative","ASCI","H_ASCI",0.75,"SP_Mag"
"59",59,"H_ASCI_SP_ROC_0.75_Negative",-0.59659441352355,-0.39765109604833,-0.199328382534346,170,"Negative","ASCI","H_ASCI",0.75,"SP_ROC"
"60",60,"H_ASCI_SP_Tim_0.75_Negative",-92.9670981404567,-56.4326857905611,-27.0869585294794,84,"Negative","ASCI","H_ASCI",0.75,"SP_Tim"
"61",61,"H_ASCI_Wet_BFL_Dur_0.75_Negative",-62.1096172668169,-39.9315920906988,-21.0001453449316,71,"Negative","ASCI","H_ASCI",0.75,"Wet_BFL_Dur"
"62",62,"H_ASCI_Wet_BFL_Mag_10_0.75_Negative",-11.9053503310258,-6.80949353188058,-3.05136229063744,188,"Negative","ASCI","H_ASCI",0.75,"Wet_BFL_Mag_10"
"63",63,"H_ASCI_Wet_BFL_Mag_50_0.75_Negative",-24.0306574849872,-12.6984530287569,-5.73269192770308,187,"Negative","ASCI","H_ASCI",0.75,"Wet_BFL_Mag_50"
"64",64,"H_ASCI_Wet_Tim_0.75_Negative",-90.8370551470895,-54.3324318467322,-26.0060294217062,248,"Negative","ASCI","H_ASCI",0.75,"Wet_Tim"
"65",65,"H_ASCI_DS_Dur_WS_0.86_Negative",-140.498588328889,-89.9571854881089,-43.6621427067859,195,"Negative","ASCI","H_ASCI",0.86,"DS_Dur_WS"
"66",66,"H_ASCI_DS_Mag_50_0.86_Negative",-4.49577392072611,-2.55670124761293,-1.20136953924218,133,"Negative","ASCI","H_ASCI",0.86,"DS_Mag_50"
"67",67,"H_ASCI_DS_Mag_90_0.86_Negative",-5.47009915122734,-3.16823585957189,-1.42363905364796,150,"Negative","ASCI","H_ASCI",0.86,"DS_Mag_90"
"68",68,"H_ASCI_DS_Tim_0.86_Negative",-222.257379277849,-133.317247866951,-62.377790508047,230,"Negative","ASCI","H_ASCI",0.86,"DS_Tim"
"69",69,"H_ASCI_FA_Dur_0.86_Negative",-7.13562462189365,-3.68716308357668,-1.86706169113712,18,"Negative","ASCI","H_ASCI",0.86,"FA_Dur"
"70",70,"H_ASCI_FA_Mag_0.86_Negative",-17.1916170404626,-33.6357727583796,-49.4906461867745,9,"Negative","ASCI","H_ASCI",0.86,"FA_Mag"
"71",71,"H_ASCI_FA_Tim_0.86_Negative",-34.2844086307211,-19.8129172395001,-9.6879847663752,28,"Negative","ASCI","H_ASCI",0.86,"FA_Tim"
"72",72,"H_ASCI_Q99_0.86_Negative",-0.0487573677352804,-0.032120871650025,-0.0167777178674534,76,"Negative","ASCI","H_ASCI",0.86,"Q99"
"73",73,"H_ASCI_SP_Dur_0.86_Negative",-78.5338454034717,-44.0129346656458,-20.0509600799044,225,"Negative","ASCI","H_ASCI",0.86,"SP_Dur"
"74",74,"H_ASCI_SP_Mag_0.86_Negative",-4.50788525961727,-2.63691524420635,-1.26507106141555,112,"Negative","ASCI","H_ASCI",0.86,"SP_Mag"
"75",75,"H_ASCI_SP_ROC_0.86_Negative",-0.541379773114565,-0.336860030564374,-0.160846667371916,170,"Negative","ASCI","H_ASCI",0.86,"SP_ROC"
"76",76,"H_ASCI_SP_Tim_0.86_Negative",-96.5923675605148,-57.8640485617917,-26.7096818088528,84,"Negative","ASCI","H_ASCI",0.86,"SP_Tim"
"77",77,"H_ASCI_Wet_BFL_Dur_0.86_Negative",-76.3642073741769,-47.3649282687459,-22.9274623078113,71,"Negative","ASCI","H_ASCI",0.86,"Wet_BFL_Dur"
"78",78,"H_ASCI_Wet_BFL_Mag_10_0.86_Negative",-4.02418794340147,-2.21683965075476,-1.00705409152103,188,"Negative","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_10"
"79",79,"H_ASCI_Wet_BFL_Mag_50_0.86_Negative",-7.88093171578374,-4.16572701739922,-1.82860598724747,187,"Negative","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_50"
"80",80,"H_ASCI_Wet_Tim_0.86_Negative",-85.783877928043,-48.9931932951607,-22.4080219540315,248,"Negative","ASCI","H_ASCI",0.86,"Wet_Tim"
"81",81,"H_ASCI_DS_Dur_WS_0.94_Negative",-132.490263276605,-81.1399249637919,-38.1781297251391,195,"Negative","ASCI","H_ASCI",0.94,"DS_Dur_WS"
"82",82,"H_ASCI_DS_Mag_50_0.94_Negative",-1.65139215897348,-0.888539226257254,-0.399666063491721,133,"Negative","ASCI","H_ASCI",0.94,"DS_Mag_50"
"83",83,"H_ASCI_DS_Mag_90_0.94_Negative",-0.817534977810126,-0.427066247410764,-0.191775874730872,150,"Negative","ASCI","H_ASCI",0.94,"DS_Mag_90"
"84",84,"H_ASCI_DS_Tim_0.94_Negative",-137.762198106628,-73.8688269184479,-32.4232328564418,230,"Negative","ASCI","H_ASCI",0.94,"DS_Tim"
"85",85,"H_ASCI_FA_Dur_0.94_Negative",-7.13562462189365,-3.68716308357668,-1.86706169113712,18,"Negative","ASCI","H_ASCI",0.94,"FA_Dur"
"86",86,"H_ASCI_FA_Mag_0.94_Negative",-17.1916170404626,-33.6357727583796,-49.4906461867745,9,"Negative","ASCI","H_ASCI",0.94,"FA_Mag"
"87",87,"H_ASCI_FA_Tim_0.94_Negative",-34.2844086307211,-19.8129172395001,-9.6879847663752,28,"Negative","ASCI","H_ASCI",0.94,"FA_Tim"
"88",88,"H_ASCI_Q99_0.94_Negative",-0.0480795757659848,-0.0303979733704277,-0.0149337606754588,76,"Negative","ASCI","H_ASCI",0.94,"Q99"
"89",89,"H_ASCI_SP_Dur_0.94_Negative",-70.057127605329,-37.9536528623085,-16.8779308039631,225,"Negative","ASCI","H_ASCI",0.94,"SP_Dur"
"90",90,"H_ASCI_SP_Mag_0.94_Negative",-6.89323170177303,-3.57492342897668,-1.61594483404,112,"Negative","ASCI","H_ASCI",0.94,"SP_Mag"
"91",91,"H_ASCI_SP_ROC_0.94_Negative",-0.590289228314881,-0.388461176537905,-0.191859093449352,170,"Negative","ASCI","H_ASCI",0.94,"SP_ROC"
"92",92,"H_ASCI_SP_Tim_0.94_Negative",-77.272463215393,-42.7611419088182,-19.2385436189105,84,"Negative","ASCI","H_ASCI",0.94,"SP_Tim"
"93",93,"H_ASCI_Wet_BFL_Dur_0.94_Negative",-79.6210968350209,-51.3021549101417,-25.1920917908301,71,"Negative","ASCI","H_ASCI",0.94,"Wet_BFL_Dur"
"94",94,"H_ASCI_Wet_BFL_Mag_10_0.94_Negative",-3.70743287218733,-1.96023588054133,-0.858463377475846,188,"Negative","ASCI","H_ASCI",0.94,"Wet_BFL_Mag_10"
